yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
94782023,9478,2023,MO0010000,MO0010000,,N,N,,I,ADAIR,ADAIR,Adair,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,7683,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,,,2005-10-01,2020-12-01,2020-12-01,2021-02-01,2021-02-01,2021-02-01,N,ADAIR,Not Specified,Y,Y,Y
94792023,9479,2023,MO0010100,MO0010100,,N,N,,I,KIRKSVILLE,KIRKSVILLE,Kirksville,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,17451,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2005-10-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,ADAIR,Not Specified,Y,Y,Y
94802023,9480,2023,MO0010600,MO0010600,,N,N,,I,TRUMAN STATE UNIVERSITY,TRUMAN STATE UNIVERSITY,Truman State University,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,University or College,0,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2005-10-01,2019-09-01,2019-09-01,2019-09-01,2019-09-01,2019-09-01,N,ADAIR,Not Specified,Y,Y,Y
94812023,9481,2023,MO0020000,MO0020000,,N,N,,I,ANDREW,ANDREW,Andrew,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,10474,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,N,,,,,,,,,2005-10-01,2021-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,ANDREW,"St. Joseph, MO-KS",Y,Y,Y
94822023,9482,2023,MO0020100,MO0020100,,N,N,,I,SAVANNAH,SAVANNAH,Savannah,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,5027,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,4,0,4,0,0,0,0.8,0.8,2005-10-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,ANDREW,"St. Joseph, MO-KS",Y,Y,Y
94832023,9483,2023,MO0020500,MO0020500,,N,N,,I,COUNTRY CLUB VILLAGE,COUNTRY CLUB VILLAGE,Country Club Village,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,2470,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,ANDREW,"St. Joseph, MO-KS",Y,Y,Y
94842023,9484,2023,MO0030000,MO0030000,,N,N,,I,ATCHISON,ATCHISON,Atchison,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,2432,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,5,0,5,1,6,7,2.5,4.9,2005-10-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ATCHISON,Not Specified,Y,Y,Y
94852023,9485,2023,MO0030200,MO0030200,,N,N,,I,ROCK PORT,ROCK PORT,Rock Port,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1233,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ATCHISON,Not Specified,Y,Y,Y
94862023,9486,2023,MO0030300,MO0030300,,N,N,,I,TARKIO,TARKIO,Tarkio,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1459,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.4,1.4,2005-10-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ATCHISON,Not Specified,Y,Y,Y
94872023,9487,2023,MO0040000,MO0040000,,N,N,,I,AUDRAIN,AUDRAIN,Audrain,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,11728,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2005-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,AUDRAIN,Not Specified,Y,Y,Y
